Time (EET),Open,High,Low,Close,Volume 
2024.12.14 12:00:00,101610.2,101658.5,101382.3,101614.1,0.00598
2024.12.14 13:00:00,101609.5,101762.3,101522.6,101640.8,0.00389
2024.12.14 14:00:00,101640.8,101709.4,101307.7,101363.1,0.00682
2024.12.14 15:00:00,101359.1,101481.1,100880.3,101234.1,0.01509
2024.12.14 16:00:00,101235.2,101597.4,101215.3,101492.7,0.00967
2024.12.14 17:00:00,101482.5,101806.1,101403.6,101685.2,0.01109
2024.12.14 18:00:00,101681.7,101722.5,101484.4,101715.7,0.0115
2024.12.14 19:00:00,101715.4,101791.7,100947.5,101047.1,0.01308
2024.12.14 20:00:00,101034.9,101243.9,100883.9,100953.8,0.01424
2024.12.14 21:00:00,100930,101415.9,100918.9,101388,0.00853
2024.12.14 22:00:00,101384.2,101474.8,100665.1,100821.9,0.00701
2024.12.14 23:00:00,100821.9,101242.8,100816.5,101131.3,0.00837
2024.12.15 00:00:00,101136.1,101322.3,100944.8,101173.9,0.00619
2024.12.15 01:00:00,101173.9,101538.4,101108.1,101465.1,0.00528
2024.12.15 02:00:00,101462.5,101613.4,101286.5,101490.8,0.00469
2024.12.15 03:00:00,101485.1,102219.3,101456.6,102154,0.00478
2024.12.15 04:00:00,102154,102171.2,101801.7,101855.4,0.00505
2024.12.15 05:00:00,101855.8,101980.6,101761.1,101770.8,0.00359
2024.12.15 06:00:00,101770.8,102870.3,101770.8,102411.2,0.01252
2024.12.15 07:00:00,102411.2,102546.6,102126.3,102181.2,0.00462
2024.12.15 08:00:00,102181.2,102200.7,101802.7,101808.4,0.00274
2024.12.15 09:00:00,101808.4,101998.3,101581.9,101779.4,0.00438
2024.12.15 10:00:00,101775,102062.5,101621.5,102054.1,0.00259
2024.12.15 11:00:00,102046.7,102297.5,101958.3,102289.4,0.00235
2024.12.15 12:00:00,102282.4,102485.7,102189.7,102309.9,0.00326
2024.12.15 13:00:00,102308.5,102716.1,102270.9,102699.9,0.00453
2024.12.15 14:00:00,102704,103357.6,102559.4,102971.3,0.01288
2024.12.15 15:00:00,102971.3,103019.8,102487.9,102806.5,0.01046
2024.12.15 16:00:00,102809.2,103085.1,102673.3,103006.3,0.00856
2024.12.15 17:00:00,103009,103065.1,102719.5,102731,0.00827
2024.12.15 18:00:00,102724.9,103504.1,102611.9,103138.8,0.01351
2024.12.15 19:00:00,103138.8,103398.1,103005.9,103192,0.00869
2024.12.15 20:00:00,103196.4,103387.8,103020.7,103221.8,0.0077
2024.12.15 21:00:00,103221.8,103465.1,103199.8,103283.5,0.01007
2024.12.15 22:00:00,103281.4,103443.2,103081,103172.9,0.01309
2024.12.15 23:00:00,103165.8,103233.1,102685.1,102906.8,0.02302
2024.12.16 00:00:00,102906.8,103431.7,102669.1,103310.6,0.01754
2024.12.16 01:00:00,103312.9,105120.9,103282.2,104464.5,0.05028
2024.12.16 02:00:00,104469.1,106611.9,104353,105420,0.0373
2024.12.16 03:00:00,105421,105587,104974,105541.8,0.03015
2024.12.16 04:00:00,105543.3,105641.3,104479.8,104612.1,0.02711
2024.12.16 05:00:00,104611.9,105012,104300.8,104595.1,0.02562
2024.12.16 06:00:00,104595.6,104822,104478.5,104696.8,0.02202
2024.12.16 07:00:00,104697.3,105082.2,104506.1,105049.3,0.01834
2024.12.16 08:00:00,105050,105377.7,104987.5,105176.1,0.01793
2024.12.16 09:00:00,105173.4,105417.7,104926.8,105004.8,0.0164
2024.12.16 10:00:00,105004.9,105037.4,104520.6,104548.2,0.01843
2024.12.16 11:00:00,104547,104955.8,104527.3,104710.5,0.01853
2024.12.16 12:00:00,104710.7,104739.8,104377,104700.3,0.01906
2024.12.16 13:00:00,104682.3,104856.1,103656.3,103792.5,0.02303
2024.12.16 14:00:00,103792.6,104174.6,103348.1,103662.5,0.02683
2024.12.16 15:00:00,103674.5,104174.2,103494.3,103936.2,0.02772
2024.12.16 16:00:00,103941.7,106032.6,103901,105500.1,0.02908
2024.12.16 17:00:00,105500.2,106537.3,105310.9,106361.3,0.02093
2024.12.16 18:00:00,106369.8,107186.1,106196.3,106875.8,0.01469
2024.12.16 19:00:00,106880.3,107237.8,106765.8,107144.4,0.01614
2024.12.16 20:00:00,107144.5,107857.4,106961.2,107166.6,0.02925
2024.12.16 21:00:00,107173.8,107183.6,105856.1,106655.9,0.03081
2024.12.16 22:00:00,106657.6,106718.2,105852.8,105855.1,0.02816
2024.12.16 23:00:00,105883.3,106335.1,105745.5,106124.3,0.01675
2024.12.17 00:00:00,106119.1,106351.1,105794.3,105880.6,0.01298
2024.12.17 01:00:00,105880.1,106135.5,105543.6,106135.5,0.02073
2024.12.17 02:00:00,106135,106309.3,105740.7,105936.8,0.0248
2024.12.17 03:00:00,105931.9,106511.5,105817.3,106437,0.02109
2024.12.17 04:00:00,106444.3,106638.5,106249.5,106312.9,0.01508
2024.12.17 05:00:00,106307.9,107031.7,106283.6,106914.5,0.01782
2024.12.17 06:00:00,106913.6,106914,106456.7,106539.3,0.01479
2024.12.17 07:00:00,106540.3,106862.1,106488.8,106855.2,0.01472
2024.12.17 08:00:00,106854.2,106890.7,106415.7,106583.7,0.01753
2024.12.17 09:00:00,106594.3,107165.8,106506,106862.5,0.01902
2024.12.17 10:00:00,106861.9,107552.1,106803.3,107440.2,0.01735
2024.12.17 11:00:00,107442.6,107510.2,107163.3,107338.2,0.01904
2024.12.17 12:00:00,107339.2,107381.5,106981.8,107239.8,0.01834
2024.12.17 13:00:00,107240.5,107355,106751.3,106838.2,0.01861
2024.12.17 14:00:00,106837.6,107209.8,106570.8,107165.1,0.02059
2024.12.17 15:00:00,107164.5,107640.8,107011,107328.7,0.02189
2024.12.17 16:00:00,107329.7,108377,107109.9,108320.7,0.02967
2024.12.17 17:00:00,108320.3,108320.3,105774.6,106539,0.03544
2024.12.17 18:00:00,106521.3,107124.9,106201.3,107121,0.02749
2024.12.17 19:00:00,107117.5,107672.9,106761.3,107570.7,0.02631
2024.12.17 20:00:00,107562.2,107696,106467.1,106597.1,0.02497
2024.12.17 21:00:00,106598.2,107061.7,106252.5,106514.8,0.02501
2024.12.17 22:00:00,106518.6,106932.5,106175.8,106765.8,0.02303
2024.12.17 23:00:00,106766.1,106838.3,106287.2,106445.9,0.01719
2024.12.18 00:00:00,106441.9,106462.8,105388.8,106010,0.02193
2024.12.18 01:00:00,106006,106391,105597.3,106191.9,0.02495
2024.12.18 02:00:00,106193.9,106521.2,105685.5,106149.6,0.02242
2024.12.18 03:00:00,106152.7,106538.9,105039.5,105432.4,0.02397
2024.12.18 04:00:00,105448.1,105682.4,105085,105362.6,0.02404
2024.12.18 05:00:00,105351.8,105369.1,104620,104795.5,0.0222
2024.12.18 06:00:00,104800.8,104800.8,103621.4,103924.3,0.02714
2024.12.18 07:00:00,103942.3,104149.5,103313.4,103599.4,0.02364
2024.12.18 08:00:00,103600.8,104030,103198,103797.6,0.02216
2024.12.18 09:00:00,103818.4,104346,103736.8,104279,0.01817
2024.12.18 10:00:00,104278.9,104397,103771.8,103818.5,0.01868
2024.12.18 11:00:00,103817.9,104417.6,103817.9,104058.7,0.01741
2024.12.18 12:00:00,104059.8,104658.9,104004.8,104553.1,0.01587
2024.12.18 13:00:00,104552.7,105059.2,104525.3,105037.5,0.01562
2024.12.18 14:00:00,105033.6,105375.1,104726.8,104948.4,0.02237
2024.12.18 15:00:00,104949.4,105278.3,104564.7,104601.8,0.022
2024.12.18 16:00:00,104603.5,104890.4,103921.8,104056.8,0.02925
2024.12.18 17:00:00,104054.3,104590.8,103679.3,104454.7,0.02934
2024.12.18 18:00:00,104452.5,104495.1,103424.1,104212.4,0.02917
2024.12.18 19:00:00,104213.4,104848.3,103899.1,104694.2,0.02499
2024.12.18 20:00:00,104690.6,105008.6,104174.1,104825.4,0.02488
2024.12.18 21:00:00,104817.3,104833.3,102812.6,102817.3,0.04154
2024.12.18 22:00:00,102785.8,102985.4,100221.7,100786.3,0.05072
2024.12.18 23:00:00,100764.4,101747.7,100446.5,100998.7,0.04133
2024.12.19 00:00:00,101023.4,101528.4,100628.3,101171.1,0.03127
2024.12.19 01:00:00,101176.5,101189.3,100063.8,100215.8,0.03358
2024.12.19 02:00:00,100218.7,101105.1,100154.3,100793.9,0.04421
2024.12.19 03:00:00,100793.2,100944,99606.8,99771,0.03773
2024.12.19 04:00:00,99738.3,100479.1,98775.1,100477.7,0.04584
2024.12.19 05:00:00,100439.8,101301.5,100430.7,101155.3,0.03438
2024.12.19 06:00:00,101153.8,101223.8,100629.3,100674.3,0.02624
2024.12.19 07:00:00,100676.4,101419.8,100660.7,101313.6,0.0223
2024.12.19 08:00:00,101286.9,101401.4,100998.3,101189.2,0.02209
2024.12.19 09:00:00,101178,101730.1,101114.8,101649.5,0.02446
2024.12.19 10:00:00,101653,101835.3,101376.3,101653.4,0.02064
